App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,New_size,New_version,Income,Installs_log,Reviews_log,Price_log,Income_log,New_size_log,Action,Adventure,Arcade,Board,Card,Casino,Casual,Music,Puzzle,Racing,Role Playing,Simulation,Sports,Strategy,Trivia,Word
ROBLOX,GAME,4.5,4447388,67M,100000000.0,Free,0.0,Everyone 10+,Adventure,2018-07-31,2.347.225742,4.1 and up,68608.0,4.1,0.0,18.420680743952367,15.307827515518134,0.0,0.0,11.136164424990419,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subway Surfers,GAME,4.5,27722264,76M,1000000000.0,Free,0.0,Everyone 10+,Arcade,2018-07-12,1.90.0,4.1 and up,77824.0,4.1,0.0,20.72326583694641,17.13774640283252,0.0,0.0,11.262205145885785,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Candy Crush Saga,GAME,4.4,22426677,74M,500000000.0,Free,0.0,Everyone,Casual,2018-07-05,1.129.0.2,4.1 and up,75776.0,4.1,0.0,20.030118656386467,16.92576174572175,0.0,0.0,11.235536898803623,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Solitaire,GAME,4.7,254258,23M,10000000.0,Free,0.0,Everyone,Card,2018-08-01,2.137.0,4.1 and up,23552.0,4.1,0.0,16.11809565095832,12.446104778509202,0.0,0.0,10.066966021528604,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bubble Shooter,GAME,4.5,148897,46M,10000000.0,Free,0.0,Everyone,Casual,2018-07-17,1.20.1,4.0.3 and up,47104.0,4.0.3,0.0,16.11809565095832,11.911010070718964,0.0,0.0,10.760113202088547,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hello Kitty Nail Salon,GAME,4.2,369203,24M,50000000.0,Free,0.0,Everyone,Casual,2018-04-17,1.5,4.1 and up,24576.0,4.1,0.0,17.72753356339242,12.81910190725496,0.0,0.0,10.1095256359474,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
slither.io,GAME,4.4,5234162,Varies with device,100000000.0,Free,0.0,Everyone,Action,2017-11-14,Varies with device,2.3 and up,,2.3,0.0,18.420680743952367,15.470717313064391,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clash Royale,GAME,4.6,23133508,97M,100000000.0,Free,0.0,Everyone 10+,Strategy,2018-06-27,2.3.2,4.1 and up,99328.0,4.1,0.0,18.420680743952367,16.956792687212694,0.0,0.0,11.506182784102837,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Temple Run 2,GAME,4.3,8118609,62M,500000000.0,Free,0.0,Everyone,Action,2018-07-05,1.49.1,4.0 and up,63488.0,4.0,0.0,20.030118656386467,15.909669392044693,0.0,0.0,11.058606190644545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pou,GAME,4.3,10485308,24M,500000000.0,Free,0.0,Everyone,Casual,2018-05-25,1.4.77,4.0 and up,24576.0,4.0,0.0,20.030118656386467,16.165485597184755,0.0,0.0,10.1095256359474,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
